Production Date Entered,County,Town,Producing Formation,Active Oil Wells,Inactive Oil Wells,Active Gas Wells,Inactive Gas Wells,Oil Produced bbl,Gas Produced Mcf
1995,Erie, WALES, MEDINA,0,0,1,0,0,156
1995,Erie, ELMA, MEDINA,0,0,1,0,0,574
1998,Chautauqua, SHERIDAN, MEDINA,0,0,8,0,0,23658
1995,Erie, HAMBURG, MEDINA,0,0,1,0,0,1195
1998,Erie, BRANT, MEDINA,0,0,1,0,0,2817
1996,Chautauqua, PORTLAND, MEDINA,0,0,1,0,0,190
1996,Steuben, HOWARD, ORISKANY,0,0,1,0,0,0
1996,Erie, MARILLA, MEDINA,0,0,0,1,0,0
1998,Chautauqua, PORTLAND, MEDINA,0,0,5,0,0,8288
1995,Genesee, PEMBROKE, MEDINA,0,0,3,0,0,9293
1995,Erie, NEWSTEAD, MEDINA,0,0,1,1,0,51985
1995,Erie, MARILLA, MEDINA,0,0,1,0,0,0
1996,Chautauqua, CHAUTAUQUA, MEDINA,0,0,0,2,0,0
1997,Chautauqua, POMFRET, MEDINA,0,0,5,1,0,15670
1997,Oneida, SANGERFIELD, HERKIMER,0,0,0,1,0,0
1998,Erie, BRANT, MEDINA,0,0,6,0,0,10299
1997,Chautauqua, PORTLAND, MEDINA,0,0,1,0,0,3440
1995,Chautauqua, ELLERY, MEDINA,0,0,1,0,0,150
1996,Erie, EDEN, MEDINA,0,0,20,0,0,22803
1995,Chautauqua, SHERIDAN, MEDINA,0,0,1,0,0,673
1995,Erie, CONCORD, MEDINA,0,0,1,0,0,5432
1995,Livingston, PORTAGE, MEDINA,0,0,1,0,0,0
1996,Chautauqua, VILLENOVA, MEDINA,0,0,1,0,0,0
1997,Chautauqua, WESTFIELD, MEDINA,0,0,10,0,0,14389
1998,Allegany, BOLIVAR, RICHBURG,0,2,0,0,0,0
1996,Chautauqua, SHERIDAN, MEDINA,0,0,1,0,0,703
1995,Genesee, PEMBROKE, MEDINA,0,0,7,1,0,23407
1995,Allegany, INDEPENDENCE, FULMER VALLEY,26,1,0,0,924,3858
1997,Chautauqua, NORTH HARMONY, BASS ISLAND,1,0,0,0,96,0
1998,Cattaraugus, CARROLLTON, CHIPMUNK,0,19,0,0,176,0
1995,Chautauqua, WESTFIELD, MEDINA,0,0,2,0,12,13528
1996,Cattaraugus, NAPOLI, MEDINA,0,0,1,1,13,1985
1995,Erie, CONCORD, MEDINA,0,0,2,0,345,3394
1996,Chautauqua, CHARLOTTE, MEDINA,0,0,1,0,564,2752
1997,Cayuga, SPRINGPORT, QUEENSTON,0,0,2,0,123,9916
1998,Genesee, ELBA, MEDINA,0,0,1,0,324,1125
1997,Erie, CONCORD, MEDINA,0,0,13,0,786,14966
1996,Genesee, DARIEN, MEDINA,0,0,14,0,65,54171
1996,Chautauqua, SHERMAN, MEDINA,0,0,5,0,454,9286
1995,Genesee, LE ROY, MEDINA,0,0,5,0,123,6720
1997,Cattaraugus, CARROLLTON, CHIPMUNK,246,0,0,0,1833,21833
1996,Allegany, ANDOVER, FULMER VALLEY,0,16,0,0,0,0
1998,Chautauqua, CHERRY CREEK, MEDINA,0,0,10,1,0,13621
1998,Erie, NEWSTEAD, MEDINA,0,0,0,2,0,0
1998,Chautauqua, NORTH HARMONY, MEDINA,0,0,1,0,0,1773
1998,Chautauqua, BUSTI, GLADE,53,0,0,0,859,0
1998,Onondaga, CAMILLUS, ,0,0,0,1,0,0
1997,Chautauqua, ELLICOTT, MEDINA,0,0,10,0,450,74496
1995,Tioga, OWEGO, MARCELLUS,0,0,1,0,0,73
1995,Chautauqua, BUSTI, GLADE,3,0,0,0,25,0
1995,Erie, TONAWANDA, MEDINA,0,0,2,0,0,794
1996,Chautauqua, POMFRET, MEDINA,0,0,0,2,0,0
1995,Chautauqua, VILLENOVA, MEDINA,0,0,1,0,340,2254
1995,Allegany, WELLSVILLE, FULMER VALLEY,0,8,0,0,0,0
1996,Erie, LANCASTER, MEDINA,0,0,1,0,0,130
1995,Allegany, BOLIVAR, RICHBURG,0,0,0,0,560,0
1996,Steuben, BATH, ONONDAGA,0,0,2,0,0,24306
1995,Cattaraugus, CARROLLTON, BRADFORD,2,0,0,0,118,0
