"Предприятия, организации,""с начала года"",""январь"",""февраль"",""март"",""апрель"",""май"",""июнь"",""июль"",""август"",""сентябрь"",""октябрь"",""ноябрь"",""декабрь"""
" АО ""Сузун"",""2761,883"",""227,91"",""183,612"",""187,482"",""181,224"",""233,816"",""203,972"",""251,422"",""312,717"",""264,206"",""253,904"",""238,35"",""223,268"""
" ООО ""Таас-Юрях Нефтегаздобыча"",""3966,85"",""303,873"",""275,649"",""310,57"",""310,937"",""332,618"",""328,974"",""347,758"",""351,052"",""337,498"",""345,428"",""349,444"",""373,049"""
" ООО ""Тагульское"",""1341,105"",""129,626"",""101,375"",""111,886"",""102,111"",""103,764"",""100,329"",""113,869"",""128,322"",""114,856"",""118,258"",""107,053"",""109,656"""
" АО ""РН-Няганьнефтегаз"",""6882,328"",""575,734"",""521,507"",""579,074"",""567,338"",""584,883"",""566,959"",""582,669"",""584,009"",""568,108"",""591,655"",""573,362"",""587,03"""
" ООО ""РН-Уватнефтегаз"",""10339,854"",""914,128"",""811,417"",""868"",""842"",""795,463"",""860,868"",""890,185"",""901,248"",""855,851"",""876,126"",""845,673"",""878,895"""
" ОАО ""Тюменнефтегаз"",""825,308"",""56,216"",""58,17"",""63,457"",""62,98"",""41,753"",""50,351"",""78,088"",""81,922"",""80,935"",""57,195"",""75,523"",""118,718"""
" ОАО ""Удмуртнефть"",""5938,571"",""513,838"",""464,244"",""514,108"",""496,561"",""424,681"",""495,818"",""513,682"",""511,974"",""494,018"",""507,721"",""492,26"",""509,666"""
" ООО ""РН-Юганскнефтегаз"",""69548,105"",""5980,694"",""5379,742"",""6011,542"",""5832,355"",""5829,027"",""5480,316"",""5374,755"",""6097,536"",""5834,251"",""5980,476"",""5792,143"",""5955,268"""
" ОАО ""Корпорация Югранефть"",""136,919"",""12,91"",""10,665"",""11,805"",""11,119"",""11,663"",""11,406"",""11,342"",""11,996"",""10,933"",""11,149"",""10,83"",""11,101"""
" ПАО ""Газпром нефть"",""39151,077"",""3282,071"",""2909,465"",""3210,991"",""3207,69"",""3469,939"",""3372,734"",""3591,514"",""3442,606"",""3207,352"",""3235"",""3068,836"",""3152,879"""
" ООО ""Газпромнефть-Восток"",""1692,09"",""139,254"",""125,086"",""138,534"",""134,547"",""139,515"",""136,652"",""145,113"",""148,582"",""147,125"",""150,389"",""141,905"",""145,388"""
" ООО ""Газпромнефть-Хантос"",""12522,746"",""1080,316"",""971,18"",""994,546"",""1022,963"",""1066,259"",""1021,423"",""1110,618"",""1090,731"",""1056,218"",""1053,823"",""1016,07"",""1038,599"""
" ООО ""Газпром нефть Оренбург"",""2855,165"",""234,154"",""209,304"",""230,13"",""224,311"",""242,856"",""237,103"",""243,648"",""250,345"",""235,428"",""255,989"",""244,235"",""247,662"""
" АО ""ЮУНГ"",""187,598"",""14,469"",""12,876"",""15,578"",""14,803"",""16,513"",""17,112"",""15,716"",""13,242"",""14,947"",""16,272"",""17,217"",""18,853"""
" ООО ""Заполярнефть"",""1321,489"",""208,073"",""173,498"",""207,168"",""193,123"",""280,682"",""258,945"",""0"",""0"",""0"",""0"",""0"",""0"""
" ПАО "" Газпром нефть"",""17,912"",""0"",""0,092"",""5,732"",""10,251"",""1,837"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
" ООО ""Газпромнефть-Ангара"",""8,98"",""1,068"",""1,509"",""2,14"",""4,263"",""0"",""0"",""0"",""0"",""0"",""0"",""0"",""0"""
" ООО ""Газпромнефть-Ямал"",""7895,915"",""675,889"",""596,625"",""652,563"",""648,666"",""680,953"",""650,251"",""666,706"",""671,243"",""667,803"",""673,609"",""640,142"",""671,465"""
" АО ""Газпромнефть-ННГ"",""9363,931"",""650,287"",""576,01"",""659,746"",""660,047"",""739,228"",""772,198"",""1115,928"",""1151,909"",""778,816"",""786,638"",""729,991"",""743,133"""
" ООО ""Газпром нефть шельф"",""3137,661"",""267,706"",""234,014"",""294,332"",""283,502"",""288,956"",""266,054"",""279,97"",""103,374"",""293,961"",""284,142"",""266,56"",""275,09"""
" ООО ""Меретояханефтегаз"",""3,1"",""0"",""0"",""0"",""0,28"",""0,434"",""0,42"",""0,308"",""0,341"",""0,3"",""0,982"",""0,035"",""0"""
" ООО ""Технологический центр ""Бажен"",""144,49"",""10,855"",""9,271"",""10,522"",""10,934"",""12,706"",""12,576"",""13,507"",""12,839"",""12,754"",""13,156"",""12,681"",""12,689"""
" ПАО ""Сургутнефтегаз"",""60757,509"",""5238,77"",""4706,7"",""5179,21"",""4973,51"",""4988,644"",""4846,11"",""5177,002"",""5196,836"",""5031,065"",""5199,032"",""5030,104"",""5190,526"""
" ПАО ""Сургутнефтегаз""(УФО),""51415,669"",""4450,675"",""3994,25"",""4390,485"",""4209,86"",""4184,289"",""4056,84"",""4387,027"",""4404,731"",""4265,895"",""4408,137"",""4264,334"",""4399,146"""
" ПАО ""Сургутнефтегаз(Якутия)"",""9341,84"",""788,095"",""712,45"",""788,725"",""763,65"",""804,355"",""789,27"",""789,975"",""792,105"",""765,17"",""790,895"",""765,77"",""791,38"""
" ПАО ""Татнефть"" им. В.Д. Шашина,""29798,049"",""2540,36"",""2281,13"",""2512,062"",""2419,1"",""2556,901"",""2519,902"",""2603,9"",""2499,74"",""2419,1"",""2499,845"",""2419,109"",""2526,9"""
" ООО ""Татнефть-Самара"",""329,066"",""28,535"",""25,334"",""27,955"",""27,222"",""27,265"",""26,302"",""27,718"",""28,582"",""25,91"",""28,219"",""27,502"",""28,522"""
" ОАО ""Татнефть"" им. В.Д. Шашина,""29468,983"",""2511,825"",""2255,796"",""2484,107"",""2391,878"",""2529,636"",""2493,6"",""2576,182"",""2471,158"",""2393,19"",""2471,626"",""2391,607"",""2498,378"""
" ПАО АНК ""Башнефть"",""18670,852"",""1610,018"",""1452,269"",""1604,043"",""1528,293"",""1577,247"",""1531,794"",""1577,742"",""1573,351"",""1518,423"",""1574,99"",""1531,426"",""1591,256"""
" ООО ""Башнефть-Добыча"",""16306,485"",""1397,908"",""1259,652"",""1392,548"",""1328,766"",""1376,681"",""1334,214"",""1380,396"",""1379,597"",""1337,446"",""1386,464"",""1341,129"",""1391,684"""
" ООО ""Башнефть-Полюс"",""1101,724"",""93,105"",""84,064"",""93,079"",""90,08"",""93,083"",""90,082"",""93,082"",""93,087"",""90,084"",""93,4"",""92,74"",""95,838"""
" ООО ""Соровскнефть(Бурнефтегаз)"",""1262,643"",""119,005"",""108,553"",""118,416"",""109,447"",""107,483"",""107,498"",""104,264"",""100,667"",""90,893"",""95,126"",""97,557"",""103,734"""
" ПАО ""НГК Славнефть"",""13972,02"",""1204,385"",""1084,991"",""1206,053"",""1115,436"",""1106,302"",""1143,117"",""1226,923"",""1231,339"",""1185,58"",""1144,775"",""1134,736"",""1188,383"""
" ОАО ""Славнефть-Мегионнефтегаз"",""7446,924"",""676,3"",""608,367"",""673,926"",""599,574"",""581,042"",""611,49"",""651,758"",""642,667"",""622,297"",""581,956"",""587,023"",""610,524"""
